po_id,vendor_id,contract_id,department_id,po_date,line_description,total_amount,currency,status,requestor_name,approval_level
PO-00483,VEND-00091,,DEPT-010,2025-10-16,Process transformation SOW,14000,USD,Received,Sasha Mwangi,VP
PO-00484,VEND-00076,,DEPT-013,2025-09-11,Litigation retainer,8000,USD,Closed,Derek Yoon,Dept Head
PO-00485,VEND-00069,,DEPT-001,2023-09-16,Customs clearance,35000,USD,Cancelled,Hana Kobayashi,VP
PO-00486,VEND-00029,,DEPT-003,2024-04-15,Process transformation SOW,45000,USD,Open,Peter Chen,VP
PO-00487,VEND-00123,,DEPT-019,2024-12-17,Landscaping,3100,USD,Cancelled,Jamie Chen,Dept Head
PO-00488,VEND-00163,,DEPT-006,2025-03-01,Corporate travel management fee,9000,USD,Cancelled,Cesar Ruiz,Dept Head
PO-00489,VEND-00012,,DEPT-003,2025-12-18,Corporate travel management fee,31500,USD,Received,Julia Hwang,VP
PO-00490,VEND-00065,,DEPT-007,2023-03-12,Last-mile delivery,1300,USD,Received,Quinn Reyes,Dept Head
PO-00491,VEND-00089,CTR-0074,DEPT-018,2023-02-15,Conference travel,2800,USD,Closed,Ingrid Voss,Dept Head
PO-00492,VEND-00138,,DEPT-001,2023-06-07,Corporate travel management fee,48500,USD,Received,Alex Rivera,VP
PO-00493,VEND-00180,,DEPT-018,2023-07-17,Platform support,42500,USD,Open,Jamie Chen,VP
PO-00494,VEND-00121,,DEPT-004,2024-03-13,Platform support,7100,USD,Received,Sasha Mwangi,Dept Head
PO-00495,VEND-00193,,DEPT-018,2025-11-12,Cleaning services month,38000,USD,Closed,Robin Park,VP
PO-00496,VEND-00174,,DEPT-011,2023-05-14,Implementation sprint,23500,USD,Received,Alex Rivera,VP
PO-00497,VEND-00008,CTR-0008,DEPT-001,2025-08-13,Print consumables,6300,USD,Received,Harish Patel,Dept Head
PO-00498,VEND-00191,,DEPT-005,2025-09-30,Annual SKO travel,7400,USD,Closed,Quinn Reyes,Dept Head
PO-00499,VEND-00091,,DEPT-013,2025-09-27,Assessment phase,700,USD,Closed,Derek Yoon,Dept Head
PO-00500,VEND-00173,,DEPT-002,2023-01-04,Print consumables,53000,USD,Closed,Alex Rivera,CFO
PO-00501,VEND-00049,,DEPT-006,2024-04-16,Contracts review package,49500,USD,Received,Cesar Ruiz,VP
PO-00502,VEND-00155,,DEPT-018,2023-08-01,Ergonomics,500,USD,Closed,Cesar Ruiz,Dept Head
PO-00503,VEND-00087,,DEPT-020,2023-01-25,Contracts review package,33500,USD,Closed,Robin Park,VP
PO-00504,VEND-00145,,DEPT-013,2023-11-21,Freight LTL lane,21000,USD,Open,Lena Brooks,VP
PO-00505,VEND-00072,CTR-0069,DEPT-007,2023-01-03,HVAC maintenance,37500,USD,Closed,Sasha Mwangi,VP
PO-00506,VEND-00084,CTR-0041,DEPT-016,2023-09-01,Freight LTL lane,3600,USD,Closed,Devon Parker,Dept Head
PO-00507,VEND-00072,CTR-0069,DEPT-004,2026-03-28,Cleaning services month,1900,USD,Closed,Ingrid Voss,Dept Head
PO-00508,VEND-00138,CTR-0053,DEPT-018,2025-05-13,Events travel block,4300,USD,Open,Peter Chen,Dept Head
PO-00509,VEND-00192,,DEPT-017,2024-11-16,Warehousing month,49000,USD,Closed,Ingrid Voss,VP
PO-00510,VEND-00151,CTR-0070,DEPT-007,2025-07-07,Contracts review package,1200,USD,Open,Aditi Shah,Dept Head
PO-00511,VEND-00192,,DEPT-005,2024-04-12,Last-mile delivery,35500,USD,Open,Hana Kobayashi,VP
PO-00512,VEND-00172,,DEPT-013,2025-08-05,Monitors and peripherals,10000,USD,Closed,Julia Hwang,VP
PO-00513,VEND-00129,CTR-0073,DEPT-001,2025-06-25,Breakroom supplies,1500,USD,Received,Ingrid Voss,Dept Head
PO-00514,VEND-00020,,DEPT-012,2025-11-23,Platform support,144000,USD,Closed,Robin Park,CFO
PO-00515,VEND-00155,,DEPT-013,2023-04-13,Ergonomics,7500,USD,Closed,Priya Raman,Dept Head
PO-00516,VEND-00163,,DEPT-017,2023-09-24,Annual SKO travel,20500,USD,Open,Quinn Reyes,VP
PO-00517,VEND-00137,,DEPT-018,2025-10-01,Quarterly office supplies replen,46000,USD,Closed,Claire Benoit,VP
PO-00518,VEND-00132,,DEPT-016,2024-11-16,Ergonomics,7600,USD,Received,Cesar Ruiz,Dept Head
PO-00519,VEND-00171,CTR-0040,DEPT-010,2024-02-13,Landscaping,3300,USD,Received,Hana Kobayashi,Dept Head
PO-00520,VEND-00151,CTR-0070,DEPT-015,2025-05-07,Contracts review package,23000,USD,Closed,Claire Benoit,VP
PO-00521,VEND-00169,,DEPT-018,2023-11-21,DR storage tier,5700,USD,Closed,Priya Raman,Dept Head
PO-00522,VEND-00099,,DEPT-016,2024-12-03,Cleaning services month,21000,USD,Open,Naomi Weiss,VP
PO-00523,VEND-00176,,DEPT-003,2025-05-11,Monthly cloud consumption,4500,USD,Received,Hana Kobayashi,Dept Head
PO-00524,VEND-00194,CTR-0038,DEPT-004,2026-02-02,Conference travel,44000,USD,Closed,Rafael Mendez,VP
PO-00525,VEND-00111,,DEPT-010,2025-12-11,Assessment phase,36000,USD,Closed,Ingrid Voss,VP
PO-00526,VEND-00167,,DEPT-015,2025-06-26,Toll-free services,5200,USD,Cancelled,Sasha Mwangi,Dept Head
PO-00527,VEND-00034,CTR-0032,DEPT-017,2025-11-13,Assessment phase,163000,USD,Open,Samira Okafor,CFO
PO-00528,VEND-00049,,DEPT-012,2023-06-24,Compliance advisory,600,USD,Closed,Devon Parker,Dept Head
PO-00529,VEND-00082,,DEPT-020,2024-12-29,Temp-to-hire fee,1100,USD,Closed,Tomas Kellerman,Dept Head
PO-00530,VEND-00009,CTR-0009,DEPT-003,2024-05-23,Monitors and peripherals,222000,USD,Cancelled,Harish Patel,CFO
PO-00531,VEND-00136,,DEPT-014,2023-04-11,Assessment phase,15500,USD,Closed,Julia Hwang,VP
PO-00532,VEND-00130,CTR-0018,DEPT-009,2024-07-07,Assessment phase,5100,USD,Closed,Devon Parker,Dept Head
PO-00533,VEND-00200,,DEPT-002,2025-01-19,Temp-to-hire fee,4400,USD,Closed,Samira Okafor,Dept Head
PO-00534,VEND-00162,CTR-0062,DEPT-015,2023-07-20,Monthly cloud consumption,8500,USD,Received,Julia Hwang,Dept Head
PO-00535,VEND-00173,,DEPT-010,2023-01-23,Print consumables,13500,USD,Closed,Owen Marsh,VP
PO-00536,VEND-00066,,DEPT-008,2023-05-13,Temp-to-hire fee,490000,USD,Closed,Priya Raman,CEO
PO-00537,VEND-00009,,DEPT-002,2026-01-07,Monitors and peripherals,10500,USD,Closed,Quinn Reyes,VP
PO-00538,VEND-00183,,DEPT-019,2025-10-10,Breakroom supplies,3700,USD,Open,Owen Marsh,Dept Head
PO-00539,VEND-00116,CTR-0052,DEPT-002,2023-11-14,Security services,205000,USD,Cancelled,Devon Parker,CFO
PO-00540,VEND-00135,,DEPT-009,2025-09-21,MPLS circuits month,800,USD,Cancelled,Harish Patel,Dept Head
PO-00541,VEND-00158,,DEPT-005,2023-04-27,Customs clearance,600,USD,Closed,Samira Okafor,Dept Head
PO-00542,VEND-00158,,DEPT-014,2023-05-05,Customs clearance,13000,USD,Closed,Ingrid Voss,VP
PO-00543,VEND-00042,,DEPT-018,2023-06-24,Creative production,33500,USD,Closed,Alex Rivera,VP
PO-00544,VEND-00170,,DEPT-019,2024-05-07,Quarterly office supplies replen,6700,USD,Closed,Devon Parker,Dept Head
PO-00545,VEND-00199,,DEPT-011,2026-04-05,MPLS circuits month,36500,USD,Closed,Naomi Weiss,VP
PO-00546,VEND-00197,,DEPT-006,2025-11-18,Network installation,145000,USD,Open,Robin Park,CFO
PO-00547,VEND-00009,,DEPT-016,2023-11-18,Laptop refresh batch,29000,USD,Received,Samira Okafor,VP
PO-00548,VEND-00096,,DEPT-013,2023-04-25,Networking gear,900,USD,Received,Harish Patel,Dept Head
PO-00549,VEND-00064,CTR-0058,DEPT-016,2024-12-26,Egress overage,1300,USD,Cancelled,Peter Chen,Dept Head
PO-00550,VEND-00021,,DEPT-009,2024-08-17,Campaign retainer,3700,USD,Closed,Tomas Kellerman,Dept Head
PO-00551,VEND-00080,,DEPT-011,2026-02-21,Last-mile delivery,30000,USD,Closed,Derek Yoon,VP
PO-00552,VEND-00041,CTR-0021,DEPT-018,2025-06-29,Staff augmentation month,6400,USD,Received,Claire Benoit,Dept Head
PO-00553,VEND-00153,,DEPT-005,2023-01-16,Contract engineer placement,7500,USD,Open,Naomi Weiss,Dept Head
PO-00554,VEND-00126,,DEPT-005,2023-11-18,Print consumables,195000,USD,Closed,Quinn Reyes,CFO
PO-00555,VEND-00111,,DEPT-017,2025-10-30,Advisory engagement,47000,USD,Open,Sasha Mwangi,VP
PO-00556,VEND-00116,CTR-0052,DEPT-008,2023-05-03,Security services,5700,USD,Closed,Julia Hwang,Dept Head
PO-00557,VEND-00194,CTR-0038,DEPT-018,2024-04-11,Corporate travel management fee,5600,USD,Closed,Alex Rivera,Dept Head
PO-00558,VEND-00020,,DEPT-004,2025-03-31,Add-on modules,31000,USD,Closed,Aditi Shah,VP
PO-00559,VEND-00004,,DEPT-010,2024-06-16,Litigation retainer,4100,USD,Cancelled,Marco Alvarez,Dept Head
PO-00560,VEND-00178,,DEPT-005,2025-05-10,Compliance advisory,146000,USD,Closed,Marco Alvarez,CFO
PO-00561,VEND-00176,CTR-0025,DEPT-006,2023-06-11,DR storage tier,1300,USD,Closed,Devon Parker,Dept Head
PO-00562,VEND-00090,,DEPT-015,2024-01-04,Landscaping,5500,USD,Received,Julia Hwang,Dept Head
PO-00563,VEND-00142,,DEPT-001,2023-04-12,Corporate travel management fee,18500,USD,Closed,Owen Marsh,VP
PO-00564,VEND-00138,CTR-0053,DEPT-017,2023-03-26,Annual SKO travel,7900,USD,Closed,Devon Parker,Dept Head
PO-00565,VEND-00162,CTR-0062,DEPT-015,2023-07-15,Monthly cloud consumption,4200,USD,Cancelled,Quinn Reyes,Dept Head
PO-00566,VEND-00016,,DEPT-017,2025-08-27,Monitors and peripherals,161000,USD,Closed,Alex Rivera,CFO
PO-00567,VEND-00144,,DEPT-006,2024-10-20,Implementation sprint,48500,USD,Received,Aditi Shah,VP
PO-00568,VEND-00027,,DEPT-003,2023-08-01,Quarterly office supplies replen,38000,USD,Received,Alex Rivera,VP
PO-00569,VEND-00091,,DEPT-015,2024-08-28,Process transformation SOW,2300,USD,Open,Owen Marsh,Dept Head
PO-00570,VEND-00089,,DEPT-009,2024-05-09,Conference travel,249000,USD,Received,Ingrid Voss,CFO
PO-00571,VEND-00026,,DEPT-020,2023-09-04,Assessment phase,46500,USD,Received,Julia Hwang,VP
PO-00572,VEND-00006,,DEPT-018,2024-04-11,Campaign retainer,3100,USD,Closed,Peter Chen,Dept Head
PO-00573,VEND-00044,,DEPT-015,2024-04-30,Contracts review package,1600,USD,Received,Cesar Ruiz,Dept Head
PO-00574,VEND-00194,,DEPT-016,2024-09-16,Events travel block,5000,USD,Received,Tomas Kellerman,Dept Head
PO-00575,VEND-00070,,DEPT-010,2025-10-23,MPLS circuits month,1500,USD,Closed,Samira Okafor,Dept Head
PO-00576,VEND-00159,,DEPT-010,2024-05-02,Customs clearance,23500,USD,Closed,Claire Benoit,VP
PO-00577,VEND-00155,,DEPT-016,2024-01-27,Print consumables,11000,USD,Closed,Julia Hwang,VP
PO-00578,VEND-00190,CTR-0051,DEPT-011,2025-04-05,Litigation retainer,171000,USD,Cancelled,Samira Okafor,CFO
PO-00579,VEND-00061,,DEPT-012,2025-08-23,MPLS circuits month,174000,USD,Cancelled,Aditi Shah,CFO
PO-00580,VEND-00153,,DEPT-016,2024-05-13,Temp-to-hire fee,4000,USD,Closed,Naomi Weiss,Dept Head
PO-00581,VEND-00069,,DEPT-011,2025-02-07,Customs clearance,5300,USD,Closed,Claire Benoit,Dept Head
PO-00582,VEND-00015,,DEPT-018,2023-11-26,Creative production,8500,USD,Closed,Devon Parker,Dept Head
PO-00583,VEND-00076,,DEPT-013,2025-04-13,Litigation retainer,34500,USD,Closed,Owen Marsh,VP
PO-00584,VEND-00193,,DEPT-003,2026-02-11,Security services,2000,USD,Received,Naomi Weiss,Dept Head
PO-00585,VEND-00140,,DEPT-009,2023-10-01,Mobile fleet lines,7000,USD,Received,Peter Chen,Dept Head
PO-00586,VEND-00167,CTR-0063,DEPT-018,2023-10-24,Network installation,7800,USD,Closed,Claire Benoit,Dept Head
PO-00587,VEND-00105,CTR-0022,DEPT-011,2025-01-01,IP counsel hours,40500,USD,Closed,Naomi Weiss,VP
PO-00588,VEND-00127,CTR-0055,DEPT-007,2023-01-10,Process transformation SOW,5800,USD,Closed,Alex Rivera,Dept Head
PO-00589,VEND-00136,,DEPT-018,2024-04-18,Advisory engagement,20500,USD,Closed,Julia Hwang,VP
PO-00590,VEND-00021,,DEPT-003,2023-10-07,Media buy,7800,USD,Received,Lena Brooks,Dept Head
PO-00591,VEND-00048,,DEPT-009,2023-08-12,Process transformation SOW,7900,USD,Received,Devon Parker,Dept Head
PO-00592,VEND-00007,CTR-0007,DEPT-006,2025-07-04,Network installation,23500,USD,Received,Harish Patel,VP
PO-00593,VEND-00129,CTR-0073,DEPT-006,2026-03-25,Breakroom supplies,6100,USD,Open,Jamie Chen,Dept Head
PO-00594,VEND-00192,,DEPT-014,2023-12-25,Last-mile delivery,18000,USD,Received,Aditi Shah,VP
PO-00595,VEND-00001,CTR-0001,DEPT-018,2023-04-09,Egress overage,16000,USD,Received,Jamie Chen,VP
PO-00596,VEND-00137,,DEPT-012,2024-09-02,Quarterly office supplies replen,45500,USD,Closed,Owen Marsh,VP
PO-00597,VEND-00001,,DEPT-001,2023-02-18,Reserved capacity,900,USD,Received,Samira Okafor,Dept Head
PO-00598,VEND-00079,CTR-0077,DEPT-009,2023-04-21,Ergonomics,11000,USD,Received,Lena Brooks,VP
PO-00599,VEND-00174,,DEPT-003,2026-02-21,Assessment phase,27000,USD,Received,Ingrid Voss,VP
PO-00600,VEND-00129,CTR-0073,DEPT-011,2024-05-12,Print consumables,44000,USD,Closed,Julia Hwang,VP
PO-00601,VEND-00011,CTR-0011,DEPT-012,2023-12-01,HVAC maintenance,4300,USD,Open,Naomi Weiss,Dept Head
PO-00602,VEND-00092,,DEPT-008,2025-07-29,Seat expansion QQ4,6000,USD,Received,Naomi Weiss,Dept Head
PO-00603,VEND-00198,,DEPT-015,2023-03-14,Customs clearance,5900,USD,Closed,Harish Patel,Dept Head
PO-00604,VEND-00092,CTR-0029,DEPT-010,2024-03-09,Add-on modules,29500,USD,Closed,Marco Alvarez,VP
PO-00605,VEND-00172,,DEPT-017,2024-03-19,Datacenter hardware,5700,USD,Open,Lena Brooks,Dept Head
PO-00606,VEND-00015,CTR-0015,DEPT-007,2025-02-19,Campaign retainer,2200,USD,Open,Peter Chen,Dept Head
PO-00607,VEND-00131,,DEPT-001,2025-06-29,Events travel block,1700,USD,Closed,Priya Raman,Dept Head
PO-00608,VEND-00007,,DEPT-014,2026-03-03,Network installation,145000,USD,Received,Luis Ortega,CFO
PO-00609,VEND-00046,CTR-0034,DEPT-006,2024-01-28,Cleaning services month,5400,USD,Received,Jamie Chen,Dept Head
PO-00610,VEND-00120,,DEPT-009,2025-09-22,Print consumables,123000,USD,Open,Alex Rivera,CFO
PO-00611,VEND-00132,,DEPT-014,2023-02-06,Quarterly office supplies replen,14500,USD,Received,Jamie Chen,VP
PO-00612,VEND-00036,,DEPT-011,2023-08-02,Security services,3100,USD,Closed,Claire Benoit,Dept Head
PO-00613,VEND-00120,,DEPT-020,2023-09-17,Quarterly office supplies replen,3300,USD,Closed,Claire Benoit,Dept Head
PO-00614,VEND-00084,,DEPT-009,2024-01-07,Warehousing month,3800,USD,Closed,Sasha Mwangi,Dept Head
PO-00615,VEND-00144,,DEPT-015,2025-06-27,Implementation sprint,7700,USD,Received,Quinn Reyes,Dept Head
PO-00616,VEND-00044,,DEPT-016,2024-07-19,IP counsel hours,6600,USD,Received,Claire Benoit,Dept Head
PO-00617,VEND-00163,,DEPT-018,2025-02-04,Conference travel,5100,USD,Closed,Rafael Mendez,Dept Head
PO-00618,VEND-00088,CTR-0060,DEPT-013,2023-08-13,Ergonomics,66000,USD,Closed,Tomas Kellerman,CFO
PO-00619,VEND-00084,,DEPT-019,2023-02-02,Customs clearance,45000,USD,Closed,Alex Rivera,VP
PO-00620,VEND-00059,CTR-0019,DEPT-002,2023-09-02,Add-on modules,4100,USD,Closed,Priya Raman,Dept Head
PO-00621,VEND-00095,,DEPT-001,2023-08-08,Laptop refresh batch,6600,USD,Closed,Quinn Reyes,Dept Head
PO-00622,VEND-00188,,DEPT-020,2023-05-15,Assessment phase,7700,USD,Received,Luis Ortega,Dept Head
PO-00623,VEND-00005,,DEPT-017,2023-01-11,Contract engineer placement,4900,USD,Closed,Priya Raman,Dept Head
PO-00624,VEND-00122,,DEPT-002,2025-11-14,Compliance advisory,36500,USD,Closed,Claire Benoit,VP
PO-00625,VEND-00095,,DEPT-001,2023-10-06,Monitors and peripherals,6600,USD,Closed,Claire Benoit,Dept Head
PO-00626,VEND-00104,,DEPT-003,2024-05-13,DR storage tier,237000,USD,Closed,Tomas Kellerman,CFO
PO-00627,VEND-00045,,DEPT-005,2025-11-25,Media buy,11500,USD,Closed,Naomi Weiss,VP
PO-00628,VEND-00013,,DEPT-016,2025-07-05,Add-on modules,2700,USD,Closed,Owen Marsh,Dept Head
PO-00629,VEND-00170,,DEPT-020,2024-08-12,Ergonomics,5200,USD,Cancelled,Alex Rivera,Dept Head
PO-00630,VEND-00093,,DEPT-008,2025-06-12,Landscaping,21000,USD,Cancelled,Samira Okafor,VP
PO-00631,VEND-00076,,DEPT-019,2026-01-12,Contracts review package,4600,USD,Received,Ingrid Voss,Dept Head
PO-00632,VEND-00075,,DEPT-013,2024-06-12,Conference travel,244000,USD,Received,Lena Brooks,CFO
PO-00633,VEND-00182,,DEPT-014,2024-07-02,Customs clearance,230000,USD,Open,Priya Raman,CFO
PO-00634,VEND-00159,,DEPT-020,2024-10-15,Customs clearance,94000,USD,Closed,Sasha Mwangi,CFO
PO-00635,VEND-00083,,DEPT-010,2024-09-19,Monthly cloud consumption,5800,USD,Closed,Julia Hwang,Dept Head
PO-00636,VEND-00061,,DEPT-018,2025-10-17,Network installation,2000,USD,Cancelled,Marco Alvarez,Dept Head
PO-00637,VEND-00197,,DEPT-006,2024-04-15,Network installation,41000,USD,Closed,Julia Hwang,VP
PO-00638,VEND-00175,,DEPT-003,2023-05-14,Laptop refresh batch,17500,USD,Closed,Samira Okafor,VP
PO-00639,VEND-00176,CTR-0025,DEPT-005,2026-03-02,Egress overage,16500,USD,Closed,Marco Alvarez,VP
PO-00640,VEND-00157,,DEPT-006,2025-03-03,Compliance advisory,3400,USD,Received,Julia Hwang,Dept Head
PO-00641,VEND-00072,,DEPT-005,2023-12-06,Landscaping,26500,USD,Closed,Claire Benoit,VP
PO-00642,VEND-00085,,DEPT-001,2024-05-25,Corporate travel management fee,61000,USD,Closed,Quinn Reyes,CFO
PO-00643,VEND-00063,CTR-0042,DEPT-020,2023-05-23,Ergonomics,6300,USD,Cancelled,Hana Kobayashi,Dept Head
PO-00644,VEND-00066,,DEPT-004,2023-06-17,Staff augmentation month,860000,USD,Closed,Cesar Ruiz,CEO
PO-00645,VEND-00003,CTR-0003,DEPT-013,2023-03-07,Warehousing month,6000,USD,Open,Priya Raman,Dept Head
PO-00646,VEND-00119,CTR-0049,DEPT-020,2023-11-19,Conference travel,5300,USD,Received,Rafael Mendez,Dept Head
PO-00647,VEND-00106,CTR-0061,DEPT-017,2025-05-01,IP counsel hours,7100,USD,Received,Harish Patel,Dept Head
PO-00648,VEND-00091,,DEPT-008,2025-04-13,Process transformation SOW,2300,USD,Closed,Derek Yoon,Dept Head
PO-00649,VEND-00064,,DEPT-011,2025-12-20,Reserved capacity,4800,USD,Received,Rafael Mendez,Dept Head
PO-00650,VEND-00121,,DEPT-014,2023-02-08,Platform support,6200,USD,Received,Devon Parker,Dept Head
PO-00651,VEND-00186,,DEPT-003,2025-08-16,Monthly cloud consumption,4900,USD,Received,Derek Yoon,Dept Head
PO-00652,VEND-00176,CTR-0025,DEPT-007,2024-07-05,Monthly cloud consumption,29000,USD,Closed,Priya Raman,VP
PO-00653,VEND-00177,,DEPT-016,2026-01-04,Compliance advisory,2600,USD,Closed,Claire Benoit,Dept Head
PO-00654,VEND-00099,,DEPT-005,2025-08-22,HVAC maintenance,208000,USD,Received,Sasha Mwangi,CFO
PO-00655,VEND-00120,,DEPT-016,2024-07-09,Breakroom supplies,43500,USD,Closed,Tomas Kellerman,VP
PO-00656,VEND-00190,,DEPT-001,2024-11-04,Litigation retainer,15500,USD,Closed,Owen Marsh,VP
PO-00657,VEND-00022,CTR-0020,DEPT-002,2024-07-15,Compliance advisory,36500,USD,Open,Jamie Chen,VP
PO-00658,VEND-00006,CTR-0006,DEPT-015,2024-07-10,Creative production,90000,USD,Closed,Julia Hwang,CFO
PO-00659,VEND-00029,,DEPT-010,2023-01-28,Advisory engagement,1900,USD,Closed,Hana Kobayashi,Dept Head
PO-00660,VEND-00176,CTR-0025,DEPT-010,2023-05-19,Reserved capacity,5500,USD,Closed,Julia Hwang,Dept Head
PO-00661,VEND-00076,,DEPT-006,2025-08-26,IP counsel hours,4700,USD,Cancelled,Claire Benoit,Dept Head
PO-00662,VEND-00010,,DEPT-001,2023-09-23,Process transformation SOW,7100,USD,Open,Tomas Kellerman,Dept Head
PO-00663,VEND-00006,,DEPT-012,2023-01-08,Campaign retainer,3400,USD,Received,Naomi Weiss,Dept Head
PO-00664,VEND-00153,,DEPT-003,2025-07-29,Specialist placement,3300,USD,Received,Marco Alvarez,Dept Head
PO-00665,VEND-00035,CTR-0043,DEPT-015,2025-11-14,Networking gear,1000,USD,Cancelled,Naomi Weiss,Dept Head
PO-00666,VEND-00077,,DEPT-004,2023-04-05,Temp-to-hire fee,2500,USD,Received,Owen Marsh,Dept Head
PO-00667,VEND-00050,,DEPT-001,2024-04-18,MPLS circuits month,3600,USD,Open,Cesar Ruiz,Dept Head
PO-00668,VEND-00087,,DEPT-008,2024-12-11,Contracts review package,2500,USD,Received,Sasha Mwangi,Dept Head
PO-00669,VEND-00073,,DEPT-010,2024-08-08,Monthly cloud consumption,44500,USD,Received,Sasha Mwangi,VP
PO-00670,VEND-00041,,DEPT-016,2026-01-10,Staff augmentation month,1500,USD,Open,Owen Marsh,Dept Head
PO-00671,VEND-00145,,DEPT-011,2025-04-20,Freight LTL lane,15000,USD,Closed,Aditi Shah,VP
PO-00672,VEND-00176,CTR-0025,DEPT-019,2025-07-17,Monthly cloud consumption,21000,USD,Closed,Samira Okafor,VP
PO-00673,VEND-00066,,DEPT-004,2025-09-23,Specialist placement,6100,USD,Received,Luis Ortega,Dept Head
PO-00674,VEND-00016,,DEPT-003,2023-11-24,Datacenter hardware,1800,USD,Cancelled,Quinn Reyes,Dept Head
PO-00675,VEND-00157,,DEPT-020,2024-07-30,IP counsel hours,3300,USD,Closed,Alex Rivera,Dept Head
PO-00676,VEND-00137,,DEPT-017,2025-04-23,Breakroom supplies,7000,USD,Received,Rafael Mendez,Dept Head
PO-00677,VEND-00065,,DEPT-014,2025-09-30,Warehousing month,36500,USD,Received,Ingrid Voss,VP
PO-00678,VEND-00108,,DEPT-016,2025-06-28,Print consumables,4500,USD,Closed,Hana Kobayashi,Dept Head
PO-00679,VEND-00134,,DEPT-004,2025-06-04,Seat expansion QQ4,7400,USD,Received,Claire Benoit,Dept Head
PO-00680,VEND-00145,,DEPT-015,2023-07-14,Freight LTL lane,9000,USD,Closed,Claire Benoit,Dept Head
PO-00681,VEND-00147,,DEPT-011,2024-01-01,Laptop refresh batch,900,USD,Cancelled,Owen Marsh,Dept Head
PO-00682,VEND-00138,,DEPT-012,2026-01-16,Corporate travel management fee,15000,USD,Cancelled,Quinn Reyes,VP
PO-00683,VEND-00015,,DEPT-020,2025-10-04,Creative production,1200,USD,Closed,Hana Kobayashi,Dept Head
PO-00684,VEND-00070,,DEPT-015,2023-09-23,Network installation,236000,USD,Open,Robin Park,CFO
PO-00685,VEND-00099,,DEPT-011,2025-03-18,HVAC maintenance,2200,USD,Closed,Hana Kobayashi,Dept Head
PO-00686,VEND-00041,,DEPT-002,2024-11-03,Contract engineer placement,500,USD,Closed,Jamie Chen,Dept Head
PO-00687,VEND-00069,,DEPT-001,2024-04-27,Warehousing month,22500,USD,Open,Priya Raman,VP
PO-00688,VEND-00104,,DEPT-011,2025-10-17,Egress overage,15000,USD,Closed,Lena Brooks,VP
PO-00689,VEND-00080,,DEPT-011,2023-08-29,Last-mile delivery,12500,USD,Open,Alex Rivera,VP
PO-00690,VEND-00056,,DEPT-020,2026-04-06,Annual subscription renewal,5300,USD,Open,Marco Alvarez,Dept Head
PO-00691,VEND-00090,,DEPT-012,2024-05-21,Cleaning services month,5100,USD,Closed,Devon Parker,Dept Head
PO-00692,VEND-00159,,DEPT-010,2024-11-05,Freight LTL lane,43500,USD,Cancelled,Tomas Kellerman,VP
PO-00693,VEND-00128,,DEPT-012,2023-05-17,Annual subscription renewal,3600,USD,Open,Alex Rivera,Dept Head
PO-00694,VEND-00170,,DEPT-009,2024-06-21,Quarterly office supplies replen,4100,USD,Open,Hana Kobayashi,Dept Head
PO-00695,VEND-00138,,DEPT-013,2024-08-12,Corporate travel management fee,16500,USD,Open,Rafael Mendez,VP
PO-00696,VEND-00108,,DEPT-017,2026-01-20,Breakroom supplies,21500,USD,Closed,Julia Hwang,VP
PO-00697,VEND-00014,CTR-0014,DEPT-017,2024-04-21,Monthly cloud consumption,9000,USD,Closed,Julia Hwang,Dept Head
PO-00698,VEND-00179,,DEPT-002,2024-05-11,Customs clearance,5100,USD,Closed,Claire Benoit,Dept Head
PO-00699,VEND-00135,,DEPT-014,2024-04-01,Network installation,5700,USD,Cancelled,Naomi Weiss,Dept Head
PO-00700,VEND-00015,CTR-0015,DEPT-009,2023-07-18,Campaign retainer,3300,USD,Closed,Peter Chen,Dept Head
PO-00701,VEND-00140,,DEPT-013,2023-01-06,MPLS circuits month,4000,USD,Closed,Julia Hwang,Dept Head
PO-00702,VEND-00120,,DEPT-006,2024-03-30,Print consumables,39500,USD,Closed,Ingrid Voss,VP
PO-00703,VEND-00169,,DEPT-011,2026-01-31,Egress overage,7900,USD,Closed,Jamie Chen,Dept Head
PO-00704,VEND-00037,CTR-0071,DEPT-010,2024-09-29,Annual SKO travel,2600,USD,Received,Devon Parker,Dept Head
PO-00705,VEND-00170,,DEPT-015,2023-07-03,Quarterly office supplies replen,5700,USD,Received,Devon Parker,Dept Head
PO-00706,VEND-00177,CTR-0027,DEPT-001,2024-02-19,Compliance advisory,34500,USD,Cancelled,Ingrid Voss,VP
PO-00707,VEND-00028,,DEPT-008,2024-12-22,Contract engineer placement,7300,USD,Received,Cesar Ruiz,Dept Head
PO-00708,VEND-00085,CTR-0079,DEPT-009,2024-07-15,Conference travel,4100,USD,Open,Priya Raman,Dept Head
PO-00709,VEND-00089,CTR-0074,DEPT-006,2025-06-24,Events travel block,10000,USD,Closed,Harish Patel,VP
PO-00710,VEND-00017,,DEPT-020,2023-12-14,Contract engineer placement,2500,USD,Closed,Cesar Ruiz,Dept Head
PO-00711,VEND-00036,,DEPT-002,2025-08-24,HVAC maintenance,2600,USD,Received,Devon Parker,Dept Head
PO-00712,VEND-00025,CTR-0067,DEPT-016,2024-09-09,Platform support,5000,USD,Cancelled,Jamie Chen,Dept Head
PO-00713,VEND-00158,,DEPT-005,2023-08-15,Last-mile delivery,4400,USD,Closed,Priya Raman,Dept Head
